team_name,abb,wins,losses,ties,points_for
New England Patriots,NE,1,0,0,33
Buffalo Bills,BUF,1,0,0,17
Miami Dolphins,MIA,0,1,0,10
New York Jets,NYJ,0,1,0,16
Baltimore Ravens,BAL,1,0,0,59
Cincinnati Bengals,CIN,0,1,0,20
Pittsburgh Steelers,PIT,0,1,0,3
Cleveland Browns,CLE,0,1,0,13
Tennessee Titans,TEN,1,0,0,43
Houston Texans,HOU,0,0,0,
Jacksonville Jaguars,JAX,0,1,0,26
Indianapolis Colts,IND,0,1,0,24
Kansas City Chiefs,KC,1,0,0,40
Los Angeles Chargers,LAC,1,0,0,30
Denver Broncos,DEN,0,0,0,
Oakland Raiders,OAK,0,0,0,
Dallas Cowboys,DAL,1,0,0,35
Philadelphia Eagles,PHI,1,0,0,32
Washington Redskins,WAS,0,1,0,27
New York Giants,NYG,0,1,0,17
Green Bay Packers,GB,1,0,0,10
Minnesota Vikings,MIN,1,0,0,28
Detroit Lions,DET,0,0,1,27
Chicago Bears,CHI,0,1,0,3
Tampa Bay Buccaneers,TB,0,1,0,17
Carolina Panthers,CAR,0,1,0,27
Atlanta Falcons,ATL,0,1,0,12
New Orleans Saints,NO,0,0,0,
Los Angeles Rams,LAR,1,0,0,30
San Francisco 49ers,SF,1,0,0,31
Seattle Seahawks,SEA,1,0,0,21
Arizona Cardinals,ARI,0,0,1,27
